sentence	sentence_id	locale	reason
o que significa peido do diabo em francês	1c52f71a1f1bebcd027c3d6c8c6a4013b283e57d47896450b00299f82a696480	pt	offensive-language
Pedro Lima é gay	10ddccb122576d84777547aa874cc5fa0308a4a55effedc6231769f6b65e45f0	pt	offensive-language
Você sabe todos os presidentes to Estados Unidos?	1a938ffa3eded2764fa1653497c7ba2da35d1923273972f492d3b9a39badf7c0	pt	grammar-or-spelling
Pedro Lima é gay	10ddccb122576d84777547aa874cc5fa0308a4a55effedc6231769f6b65e45f0	pt	offensive-language
Uma empregada de mesa em um tshirt branco que serve convidados em um restaurante.	2a821c8ca309d8789fbc04eb4c4e11688b9b0d928a0f330d8f41b1bdaef4303f	pt	grammar-or-spelling
Eu deveria estar lá.	1ce1040ed36930f81b5a7144a6ceffb5b56a8191d6f81037178569783f302e43	pt	grammar-or-spelling
Não podemos deixar que o Chronicle nos dê risada!	19b5545771b5d2d84bcfe97b54db1c0165899bff7092523b10ce157c09fdf01c	pt	grammar-or-spelling
Eles descobriram que não havia insetos no inverno.	2224b7013088187f56519d0e2f47636c90ad8ae0500af2ee8177709ecdc40dd8	pt	grammar-or-spelling
E hoje você não escapa.	25a24281a35772e606057ac864bb6dabbaf546849ccfc17d6e1f0eff758264bc	pt	grammar-or-spelling
Demolição da recusa de destruir a polícia	1fbf3a779b6be80a91a661e3f62f177601202ed65853b6d8aa876165a5cb1c18	pt	grammar-or-spelling
Tudo isso aconteceu entre o nascer eo pôr do sol? o menino pensou.	1daaec021e8025bb63c4a74facf65970c53889070902e6c95c0d9c50e31e6f52	pt	grammar-or-spelling
Metade homem nu, inclinando-se fora da janela, tirando fotos.	215512c7ddb3aec79d9efb856353011ed492369022d0e240051fc4339999d75d	pt	grammar-or-spelling
São precisos dois para dançar o tango.	332ca80f274208625fa9a499efd279f0f879153592bd06907f5a5592a4940a6a	pt	grammar-or-spelling
Sacramento, em Calafornia, provavelmente terá conexão de alta velocidade em breve.	294f348078f15f2d34cfece45df2a5a2f30c991ac6c91e23219296d205e54a96	pt	grammar-or-spelling
"Eu não precisava perder meu tempo só por esse?" ele disse.	365671bdb58abeb16e429fe021a5dd72b2ddfe05b8a8693fa30d8475067f4374	pt	grammar-or-spelling
Grupo de pessoas jogar tênis em um tribunal de argila.	2ebe4e2dea20749e7332da8eabe28edac6802d379f653056e24731f29182bc1a	pt	grammar-or-spelling
Deve estar bebendo leite.	03eda716fcffb4c78faca3b5aa95daee6209146b87b12dc2cdaf1c8947e8d0b4	pt	grammar-or-spelling
peitos, mamilos, tetas ou seios, todos remetem ao mesmo significado	184bc7d304e300a66e801aa6e7d8b920b6a663b9ce2d1d53b172201738b9342a	pt	grammar-or-spelling
Tudo isso aconteceu entre o nascer eo pôr do sol? o menino pensou.	1daaec021e8025bb63c4a74facf65970c53889070902e6c95c0d9c50e31e6f52	pt	grammar-or-spelling
Eu estou dormindo com uma criança.	3f6f9ccbd3ac8bab47598e808230923c4b694e3ed842ba0f0838e6cb7cce677b	pt	offensive-language
Tudo isso aconteceu entre o nascer eo pôr do sol? o menino pensou.	1daaec021e8025bb63c4a74facf65970c53889070902e6c95c0d9c50e31e6f52	pt	grammar-or-spelling
Você foi assisti Deadpool?	438ca4280ac4f97ced5960526b58869b292a21e378363fc045e822f6d1ce27b1	pt	grammar-or-spelling
James Madison e James Monroe foram presidentes do Estados Unidos.	406600d599e269c6544374e7d7db76ded246e30931cac556f53b17cd833aa382	pt	grammar-or-spelling
Você foi assisti Deadpool?	438ca4280ac4f97ced5960526b58869b292a21e378363fc045e822f6d1ce27b1	pt	grammar-or-spelling
peitos, mamilos, tetas ou seios, todos remetem ao mesmo significado	184bc7d304e300a66e801aa6e7d8b920b6a663b9ce2d1d53b172201738b9342a	pt	offensive-language
Um homem que monta um asno na frente de um edifício da mostarda.	4d770fc81e2ecb5d3be04fb0b35300ea2d2db02d8c0f1dc7dd230f3ce30e7be7	pt	grammar-or-spelling
Quatro hora da manhã e nenhum sinal dela.	406c9e717f5b87e05d608461db4460ab35aaddcbb25ad7e2f0591a0ce1e9bbd1	pt	grammar-or-spelling
Voltando para casa? uma festa de turistas nos passou cantando e tocando música.	49c1b83d74a49fdd64879a1ee962a1674f929a786378a3bbdf62ba15a3a1db9d	pt	grammar-or-spelling
Quatro hora da manhã e nenhum sinal dela.	406c9e717f5b87e05d608461db4460ab35aaddcbb25ad7e2f0591a0ce1e9bbd1	pt	grammar-or-spelling
Quatro hora da manhã e nenhum sinal dela.	406c9e717f5b87e05d608461db4460ab35aaddcbb25ad7e2f0591a0ce1e9bbd1	pt	grammar-or-spelling
Você foi assisti Deadpool?	438ca4280ac4f97ced5960526b58869b292a21e378363fc045e822f6d1ce27b1	pt	grammar-or-spelling
Se montar uma locomotiva é conveniente e barato	62b28b1352d87fa5972eaf403c351fcaae0bc52d2e6db6f0bea87243fe80fd4b	pt	grammar-or-spelling
Nossa galáxia?, a Via Láctea?, aparentemente contém matéria escura.	4cb15f8e604ac9b1596b3b9e2e998f623a98df6f49e6f5d4fc0e76a66599e90c	pt	grammar-or-spelling
Você tem um nervo acusando as pessoas de coisas!	63f62604792eccb3b6b8e05bab0f21951b13f6349991f46f7a260ee2f30fab2a	pt	grammar-or-spelling
Agora, o termo que eles fazem não é o tópico, mas a "entonação".	503d4eee38149539b342a9dd48662f1b672b35795bab6ec7a8de90bfa126507d	pt	grammar-or-spelling
E, claro,? não é muito personalizável.	670fefcf5a0e31e4622b34a1fec15892c8a5a0d8c7f85c20a13aac1e8bea6747	pt	grammar-or-spelling
Por um momento,? tudo estava escuro e assustador.	71b752fbb08c4e4eed5c778ee9a5e415ef497aa1c6758ff8c04244753939f8ea	pt	grammar-or-spelling
O Brasil fica América do Sul.	9818c2f05b1d8fe8a76a28a9a909445610076b4fa780682f42adc3a89f2c32ca	pt	grammar-or-spelling
Valide esta sentença ou teu pé irá feder durante toda a quaresma	8f8ce3dbd733fd698f1b6f9051b786b6a434adf3f760d9f2e9a1de968f1bb978	pt	offensive-language
Ele pensou que? com alguma paciência? ele seria capaz de transformar tudo em ouro.	94db4bfd9a06cf8c7bf6ac00605ab405ff49898ee185439dd5b6a154a3868d4b	pt	grammar-or-spelling
De acordo com o sinal? sem estacionamento hoje por causa da filmagem do filme.	962660716a57daf46b0f7667e72ed2e9a9ebc91c96f209a1169fe62da9ddf3f3	pt	grammar-or-spelling
Nossos olhos não crescem?, mas nossos ouvidos e nariz crescem para sempre.	86a7fa963e648dea06ad842accc3aba17ceaacff5b5516909d6b9798768a5a88	pt	grammar-or-spelling
O Brasil fica América do Sul.	9818c2f05b1d8fe8a76a28a9a909445610076b4fa780682f42adc3a89f2c32ca	pt	grammar-or-spelling
Minhã faz uma feijoada que é uma delicia.	8ec7e47ad4edd8a5e0558bdc628ea7fd4edf5198f13bd3d8228178733c4231c9	pt	grammar-or-spelling
O Brasil fica América do Sul.	9818c2f05b1d8fe8a76a28a9a909445610076b4fa780682f42adc3a89f2c32ca	pt	grammar-or-spelling
Deve estar congelado.	a3c5575ee04ffb8b7c0e9d18128cbbf1b218e4dc947fc3b17009072c9f090c0d	pt	grammar-or-spelling
Cidades como Amesterdão	bb21930401b96959d484870f8c6385f48761199bd201a0bdf66015348e4b255b	pt	grammar-or-spelling
