Word Error Rate,Gestalt Pattern Matching,Longest Common Subsequence
"0,2857142857","0,9230769231","0,9230769231"
"0,09090909091","0,9782608696","0,9782608696"
"0,3","0,9491525424","0,9491525424"
1,"0,7142857143","0,7142857143"
0,1,1
0,1,1
0,1,1
"0,1111111111","0,9607843137",1
0,1,1
"0,1428571429","0,9743589744","0,9743589744"
0,1,1
"0,25","0,9473684211","0,9473684211"
"0,375","0,9347826087","0,9555555556"
"0,2727272727","0,9433962264","0,9433962264"
0,1,1
0,1,1
"0,125","0,9761904762","0,9761904762"
"0,25","0,9565217391","0,9565217391"
0,1,1
"0,4","0,9375","0,9375"
0,1,1
0,1,1
0,1,1
"0,5","0,9375",1
"0,1111111111","0,9814814815","0,9814814815"
1,"0,4444444444","0,6666666667"
0,1,1
1,"0,75","0,75"
"0,07692307692","0,9756097561","0,9756097561"
"0,4","0,9615384615","0,9615384615"
0,1,1
"0,7777777778","0,8412698413","0,8412698413"
"0,125","0,9736842105","0,9736842105"
0,1,1
0,1,1
0,1,1
0,1,1
"0,5","0,9047619048","0,9047619048"
"0,1111111111","0,9824561404","0,9824561404"
"0,25","0,9545454545","0,9545454545"
inf,0,0
0,1,1
"0,09090909091","0,9885057471","0,9885057471"
0,1,1
"0,5","0,9230769231","0,9230769231"
0,1,1
"0,07692307692","0,9863013699","0,9863013699"
0,1,1
1,"0,5","0,7777777778"
0,1,1
0,1,1
0,1,1
"0,08333333333","0,984375","0,984375"
0,1,1
0,1,1
"0,1428571429","0,9736842105","0,9736842105"
"0,1428571429","0,9333333333","0,9333333333"
"0,3333333333","0,9387755102","0,9387755102"
0,1,1
0,1,1
1,"0,8333333333",1
"0,2727272727","0,9384615385","0,9384615385"
"0,25","0,8292682927","0,8292682927"
2,"0,9090909091","0,9090909091"
0,1,1
"0,6666666667","0,9393939394",1
"0,1","0,9855072464","0,9855072464"
"0,07692307692","0,9888888889","0,9888888889"
0,1,1
"0,3846153846","0,9462365591","0,9462365591"
0,1,1
"0,1428571429","0,9787234043","0,9787234043"
"0,2857142857","0,9411764706","0,9411764706"
"0,3333333333","0,935483871","0,935483871"
0,1,1
"0,3333333333","0,9322033898","0,9322033898"
0,1,1
0,1,1
"0,25","0,9583333333","0,9583333333"
0,1,1
"0,5","0,9","0,9"
"0,3333333333","0,9230769231","0,9230769231"
0,1,1
0,1,1
0,1,1
"0,2222222222","0,9433962264","0,9433962264"
"0,08333333333","0,9863013699","0,9863013699"
0,1,1
0,1,1
"0,2857142857","0,9393939394","0,9393939394"
"0,08333333333","0,9857142857","0,9857142857"
0,1,1
"0,75","0,8571428571","0,8571428571"
0,1,1
"0,1666666667","0,9696969697","0,9696969697"
"0,5555555556","0,8863636364","0,8863636364"
"0,2","0,9310344828","0,9310344828"
"0,3333333333","0,9433962264","0,9433962264"
0,1,1
0,1,1
"0,1","0,9855072464","0,9855072464"
"0,1","0,9855072464","0,9855072464"
0,1,1
"0,3076923077","0,9418604651","0,9418604651"
0,1,1
"0,75","0,8571428571","0,8571428571"
1,"0,8333333333",1
0,1,1
"0,4285714286","0,8958333333","0,8958333333"
0,1,1
1,"0,875","0,875"
0,1,1
0,1,1
"0,3","0,9473684211","0,9473684211"
"0,5","0,873015873","0,9016393443"
0,1,1
"0,25","0,9642857143","0,9642857143"
0,1,1
"0,2","0,8571428571","0,8571428571"
1,"0,625","0,8333333333"
0,1,1
"0,25","0,95","0,95"
0,1,1
"0,2727272727","0,8888888889","0,8888888889"
0,1,1
"0,2","0,9642857143","0,9642857143"
0,1,1
"0,5","0,9032258065","0,9032258065"
"0,3","0,8852459016","0,8852459016"
"0,5","0,875","0,875"
"0,1538461538","0,9696969697","0,9696969697"
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
"0,25","0,95","0,95"
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
"0,1666666667","0,9361702128","0,9361702128"
"0,2","0,9591836735","0,9591836735"
"0,125","0,9795918367","0,9795918367"
"0,7142857143","0,8125","0,8125"
0,1,1
"0,4","0,9090909091","0,9090909091"
0,1,1
"0,08333333333","0,9857142857","0,9857142857"
1,"0,9","0,9"
"0,2857142857","0,9534883721","0,9534883721"
0,1,1
"0,1111111111","0,9836065574","0,9836065574"
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
"0,5","0,9090909091","0,9090909091"
"0,1","0,9821428571","0,9821428571"
0,1,1
0,1,1
"0,2727272727","0,9677419355","0,9677419355"
"0,3076923077","0,9480519481","0,9480519481"
1,"0,7777777778","0,7777777778"
"0,5","0,9",1
"0,2","0,9666666667","0,9666666667"
0,1,1
"0,25","0,9210526316","0,9210526316"
0,1,1
0,1,1
1,"0,7272727273","0,7272727273"
0,1,1
1,"0,8571428571","0,8571428571"
1,"0,4285714286","0,4285714286"
"0,1666666667","0,9795918367","0,9795918367"
1,"0,8571428571","0,8571428571"
1,"0,6666666667","0,6666666667"
"0,1111111111","0,9743589744","0,9743589744"
"0,1428571429","0,9696969697","0,9696969697"
"0,375","0,9459459459","0,9459459459"
"0,3333333333","0,8620689655","0,8620689655"
0,1,1
"0,07142857143","0,984375","0,984375"
"0,3333333333","0,9259259259","0,9259259259"
0,1,1
1,"0,8888888889",1
0,1,1
"0,1428571429","0,9722222222","0,9722222222"
0,1,1
"0,2","0,9545454545","0,9545454545"
0,1,1
"0,3333333333","0,9393939394","0,9393939394"
0,1,1
0,1,1
0,1,1
0,1,1
1,"0,5","0,5"
"0,1428571429","0,9756097561","0,9756097561"
"0,2307692308","0,9680851064","0,9680851064"
"0,2","0,9565217391","0,9565217391"
"0,4","0,8965517241","0,962962963"
"0,25","0,88","0,88"
"0,1","0,984375","0,984375"
"0,4444444444","0,8771929825","0,8771929825"
0,1,1
0,1,1
"0,2","0,8947368421","0,8947368421"
1,"0,6666666667","0,6666666667"
1,"0,1666666667","0,1666666667"
"0,1428571429","0,8888888889","0,8888888889"
"0,5","0,7647058824","0,7647058824"
"0,1818181818","0,9649122807","0,9649122807"
